iter	Passed	Remaining
0	46	46881
1	49	24548
2	51	17117
3	53	13303
4	55	11006
5	57	9462
6	58	8301
7	59	7439
8	61	6789
9	63	6243
10	64	5811
11	66	5461
12	67	5154
13	69	4891
14	70	4651
15	72	4453
16	73	4271
17	75	4091
18	76	3946
19	77	3800
20	78	3665
21	79	3544
22	80	3439
23	82	3340
24	83	3246
25	84	3159
26	85	3072
27	86	2992
28	87	2913
29	87	2844
30	88	2776
31	89	2714
32	90	2655
33	91	2597
34	92	2542
35	92	2489
36	93	2439
37	94	2395
38	95	2348
39	96	2304
40	96	2262
41	97	2220
42	97	2180
43	98	2141
44	99	2106
45	99	2071
46	100	2040
47	101	2010
48	101	1977
49	102	1946
50	102	1916
51	103	1886
52	103	1857
53	104	1829
54	105	1804
55	105	1777
56	105	1753
57	106	1729
58	107	1708
59	107	1687
60	108	1665
61	108	1644
62	109	1622
63	109	1602
64	110	1583
65	110	1563
66	110	1544
67	111	1525
68	111	1507
69	112	1489
70	112	1471
71	112	1454
72	113	1438
73	113	1424
74	114	1409
75	114	1394
76	115	1381
77	115	1369
78	116	1356
79	116	1345
80	117	1334
81	118	1323
82	118	1309
83	119	1306
84	121	1303
85	122	1303
86	123	1299
87	124	1295
88	126	1291
89	127	1287
90	128	1282
91	129	1277
92	130	1277
93	132	1273
94	133	1269
95	134	1266
96	135	1261
97	136	1258
98	137	1254
99	139	1254
100	140	1251
101	141	1249
102	143	1245
103	144	1241
104	145	1237
105	146	1234
106	147	1233
107	148	1229
108	149	1226
109	151	1222
110	152	1219
111	153	1215
112	154	1213
113	155	1212
114	157	1209
115	158	1205
116	159	1201
117	160	1198
118	161	1195
119	162	1192
120	164	1191
121	165	1189
122	167	1191
123	168	1188
124	169	1185
125	170	1184
126	171	1179
127	173	1180
128	174	1178
129	175	1175
130	176	1172
131	177	1169
132	178	1166
133	179	1162
134	180	1158
135	181	1153
136	182	1147
137	182	1142
138	183	1137
139	184	1131
140	184	1126
141	185	1119
142	185	1114
